Designator,Mid X,Mid Y,Rotation,Layer
C1,207.25,-77.8,90.0,bottom
C10,218.55,-43.727,270.0,bottom
C2,208.32,-86.15,180.0,bottom
C3,207.25,-87.58,270.0,bottom
C4,201.52,-88.15,0.0,bottom
C5,198.92,-78.85,0.0,bottom
C6,208.45,-77.825,90.0,bottom
C7,204.25,-88.15,180.0,bottom
C8,221.5,-40.077,270.0,bottom
C9,221.5,-42.027,90.0,bottom
D1,36.5125,-34.13125,90.0,bottom
D10,215.10625,-34.13125,90.0,bottom
D11,241.3,-34.13125,90.0,bottom
D12,260.35,-34.13125,90.0,bottom
D13,38.89375,-53.18125,90.0,bottom
D14,60.325,-53.18125,90.0,bottom
D15,79.375,-53.18125,90.0,bottom
D16,98.425,-53.18125,90.0,bottom
D17,117.475,-53.18125,90.0,bottom
D18,136.525,-53.18125,90.0,bottom
D19,155.575,-53.18125,90.0,bottom
D2,55.5625,-34.13125,90.0,bottom
D20,174.625,-53.18125,90.0,bottom
D21,193.675,-53.18125,90.0,bottom
D22,219.86875,-62.70625,90.0,bottom
D23,241.3,-53.18125,90.0,bottom
D24,260.35,-53.18125,90.0,bottom
D25,41.275,-72.23125,90.0,bottom
D26,65.0875,-72.23125,90.0,bottom
D27,84.1375,-72.23125,90.0,bottom
D28,103.1875,-72.23125,90.0,bottom
D29,122.2375,-72.23125,90.0,bottom
D3,74.6125,-34.13125,90.0,bottom
D30,141.2875,-72.23125,90.0,bottom
D31,160.3375,-72.23125,90.0,bottom
D32,179.3875,-72.23125,90.0,bottom
D33,198.4375,-72.23125,90.0,bottom
D34,241.3,-72.23125,90.0,bottom
D35,260.35,-72.23125,90.0,bottom
D36,36.5125,-91.28125,90.0,bottom
D37,57.94375,-91.28125,90.0,bottom
D38,98.425,-91.28125,90.0,bottom
D39,153.19375,-91.28125,90.0,bottom
D4,93.6625,-34.13125,90.0,bottom
D40,191.29375,-91.28125,90.0,bottom
D41,222.25,-91.28125,90.0,bottom
D42,241.3,-91.28125,90.0,bottom
D43,260.35,-91.28125,90.0,bottom
D5,112.7125,-34.13125,90.0,bottom
D6,131.7625,-34.13125,90.0,bottom
D7,150.8125,-34.13125,90.0,bottom
D8,169.8625,-34.13125,90.0,bottom
D9,188.9125,-34.13125,90.0,bottom
F1,215.7125,-43.7645,180.0,bottom
J2,209.87825,-41.313362,90.0,bottom
MX1,33.3375,-33.3375,0.0,bottom
MX10,211.93125,-33.3375,0.0,bottom
MX11,238.125,-33.3375,0.0,bottom
MX12,257.175,-33.3375,0.0,bottom
MX13,35.71875,-52.3875,0.0,bottom
MX14,57.15,-52.3875,0.0,bottom
MX15,76.2,-52.3875,0.0,bottom
MX16,95.25,-52.3875,0.0,bottom
MX17,114.3,-52.3875,0.0,bottom
MX18,133.35,-52.3875,0.0,bottom
MX19,152.4,-52.3875,0.0,bottom
MX2,52.3875,-33.3375,0.0,bottom
MX20,171.45,-52.3875,0.0,bottom
MX21,190.5,-52.3875,0.0,bottom
MX22,216.69375,-61.9125,0.0,bottom
MX23,238.125,-52.3875,0.0,bottom
MX24,257.175,-52.3875,0.0,bottom
MX25,38.1,-71.4375,0.0,bottom
MX26,61.9125,-71.4375,0.0,bottom
MX27,80.9625,-71.4375,0.0,bottom
MX28,100.0125,-71.4375,0.0,bottom
MX29,119.0625,-71.4375,0.0,bottom
MX3,71.4375,-33.3375,0.0,bottom
MX30,138.1125,-71.4375,0.0,bottom
MX31,157.1625,-71.4375,0.0,bottom
MX32,176.2125,-71.4375,0.0,bottom
MX33,195.2625,-71.4375,0.0,bottom
MX34,238.125,-71.4375,0.0,bottom
MX35,257.175,-71.4375,0.0,bottom
MX36,33.3375,-90.4875,0.0,bottom
MX37,54.76875,-90.4875,0.0,bottom
MX38,95.25,-90.4875,0.0,bottom
MX39,150.01875,-90.4875,0.0,bottom
MX4,90.4875,-33.3375,0.0,bottom
MX40,188.11875,-90.4875,0.0,bottom
MX41,219.075,-90.4875,0.0,bottom
MX42,238.125,-90.4875,0.0,bottom
MX43,257.175,-90.4875,0.0,bottom
MX5,109.5375,-33.3375,0.0,bottom
MX6,128.5875,-33.3375,0.0,bottom
MX7,147.6375,-33.3375,0.0,bottom
MX8,166.6875,-33.3375,0.0,bottom
MX9,185.7375,-33.3375,0.0,bottom
R1,235.55,-78.990001,90.0,bottom
SW1,240.3,-79.0,0.0,bottom
U1,203.6,-82.5,0.0,bottom
U2,215.45,-40.927,0.0,bottom
U3,219.1,-40.877,180.0,bottom
